WordPosition,Word,ListID,ParticipantID,ItemID,Sentence,RT,ConditionID
6,unemployed,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,523,C
7,workers,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,594,C
8,the,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,545,C
9,scheme,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,571,C
10,that,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,552,C
11,benefited,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,556,C
12,promptly,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,572,C
13,and,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,784,C
14,fully,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,346,C
15,from,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,571,C
16,the,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,391,C
17,economic,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,581,C
18,upswing,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,1072,C
19,would,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,615,C
20,help,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,440,C
21,in,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,651,C
22,the,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,388,C
23,big,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,460,C
24,town.,1,1,Targ17,The city mayor knew which unemployed workers the scheme that benefited promptly and fully from the economic upswing would help in the big town.,461,C
1,The,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,403,B
2,oppressed,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,424,B
3,minority,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,661,B
4,learned,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,646,B
5,which,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,635,B
6,disagreements,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,641,B
7,the,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,479,B
8,effort,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,661,B
9,to,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,408,B
10,battle,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,456,B
11,fiercely,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,495,B
12,and,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,713,B
13,relentlessly,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,596,B
14,for,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,490,B
15,civil,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,637,B
16,rights,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,404,B
17,would,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,377,B
18,provoke,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,392,B
19,in,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,480,B
20,the,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,392,B
21,future.,1,1,Targ03,The oppressed minority learned which disagreements the effort to battle fiercely and relentlessly for civil rights would provoke in the future.,505,B
1,The,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,350,C
2,teaching,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,540,C
3,assistant,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,522,C
4,knew,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,799,C
5,which,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,598,C
6,professor,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,463,C
7,the,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,361,C
8,request,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,555,C
9,that,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,512,C
10,asked,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,513,C
11,in,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,495,C
12,an,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,383,C
13,email,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,506,C
14,about,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,451,C
15,the,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,478,C
16,difficult,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,533,C
17,assignment,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,1091,C
18,would,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,419,C
19,bother,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,480,C
20,shortly,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,408,C
21,before,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,497,C
22,the,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,531,C
23,final,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,712,C
24,exam.,1,1,Targ06,The teaching assistant knew which professor the request that asked in an email about the difficult assignment would bother shortly before the final exam.,516,C
1,The,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,495,A
2,burly,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,524,A
3,sergeant,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,967,A
4,realized,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,458,A
5,which,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,665,A
6,troops,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,465,A
7,the,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,523,A
8,scheme,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,577,A
9,to,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,512,A
10,call,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,400,A
11,without,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,393,A
12,any,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,438,A
13,delay,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,399,A
14,for,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,509,A
15,immediate,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,648,A
16,action,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,565,A
17,would,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,463,A
18,endanger,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,458,A
19,during,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,477,A
20,the,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,400,A
21,battle.,1,1,Targ05,The burly sergeant realized which troops the scheme to call without any delay for immediate action would endanger during the battle.,444,A
1,The,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,534,A
2,departmental,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,945,A
3,chairman,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,773,A
4,remembered,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,687,A
5,which,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,483,A
6,organizing,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,643,A
7,committee,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,789,A
8,the,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,477,A
9,idea,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,494,A
10,to,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,442,A
11,help,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,564,A
12,in,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,271,A
13,useful,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,538,A
14,ways,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,465,A
15,with,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,611,A
16,the,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,706,A
17,preparations,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,683,A
18,would,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,490,A
19,annoy,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,521,A
20,at,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,488,A
21,the,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,431,A
22,annual,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,470,A
23,convention.,1,1,Targ22,The departmental chairman remembered which organizing committee the idea to help in useful ways with the preparations would annoy at the annual convention.,506,A
1,The,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,570,B
2,tour,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,615,B
3,guide,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,555,B
4,realized,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,411,B
5,which,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,499,B
6,inexperienced,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,529,B
7,traveler,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,509,B
8,the,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,814,B
9,plan,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,882,B
10,to,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,675,B
11,coordinate,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,626,B
12,in,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,486,B
13,every,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,658,B
14,detail,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,811,B
15,with,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,454,B
16,the,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,486,B
17,airline,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,551,B
18,schedule,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,558,B
19,would,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,534,B
20,confuse,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,542,B
21,during,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,441,B
22,the,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,436,B
23,business,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,561,B
24,trip.,1,1,Targ13,The tour guide realized which inexperienced traveler the plan to coordinate in every detail with the airline schedule would confuse during the business trip.,680,B
1,The,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,489,B
2,school,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,432,B
3,superintendent,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,2660,B
4,learned,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,1629,B
5,which,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,778,B
6,high,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,802,B
7,school,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,435,B
8,students,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,375,B
9,the,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,712,B
10,proposal,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,597,B
11,to,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,525,B
12,expand,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,613,B
13,drastically,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,1094,B
14,and,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,465,B
15,innovatively,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,722,B
16,upon,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,558,B
17,the,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,579,B
18,current,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,616,B
19,curriculum,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,655,B
20,would,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,547,B
21,motivate,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,699,B
22,during,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,569,B
23,the,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,514,B
24,following,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,510,B
25,semester.,1,1,Targ18,The school superintendent learned which high school students the proposal to expand drastically and innovatively upon the current curriculum would motivate during the following semester.,458,B
1,The,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,693,D
2,generous,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,782,D
3,donor,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,589,D
4,learned,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,509,D
5,which,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,600,D
6,major,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,598,D
7,disagreement,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,707,D
8,the,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,437,D
9,plan,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,479,D
10,that,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,523,D
11,benefited,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,675,D
12,to,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,661,D
13,the,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,518,D
14,fullest,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,781,D
15,extent,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,1031,D
16,from,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,641,D
17,his,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,460,D
18,charity,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,521,D
19,would,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,443,D
20,resolve,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,518,D
21,at,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,484,D
22,the,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,389,D
23,big,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,444,D
24,university.,1,1,Targ07,The generous donor learned which major disagreement the plan that benefited to the fullest extent from his charity would resolve at the big university.,471,D
1,The,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,559,A
2,isolated,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,518,A
3,farmers,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,627,A
4,learned,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,1165,A
5,which,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,494,A
6,basic,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,611,A
7,foods,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,481,A
8,the,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,443,A
9,scheme,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,584,A
10,to,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,468,A
11,prepare,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,483,A
12,hurriedly,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,391,A
13,and,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,756,A
14,efficiently,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,432,A
15,for,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,498,A
16,the,1,1,Targ15,The isolated farmers learned which basic foods the scheme to prepare hurriedly and efficiently for the violent winter storm would require during the snowy season.,481,A
